,운전 누적 시간,현재 상태,1-수소공급량,2-수소공급량,1-산소공급량,2-산소공급량,1-버너회전수,2-버너회전수,1-버너속도,2-버너속도,1-핀치횟수,2-핀치횟수,핀치두께-상,핀치두께-중,핀치두께-하,핀치두께2-상,핀치두께2-중,핀치두께2-하,전극간격,채널,전압(1차),전류(1차),역률(1차),전력(1차),온도(1차),전압(2차),전류(2차),역률(2차),전력(2차),온도(2차),강도,"Pinch No.1
정면부 측정 편차","Pinch No.2
정면부 측정 편차","Pinch No.1
측면부 측정 편차","Pinch No.2
측면부 측정 편차"
14,19388,0,98.346,98.346,79.74,89.04299999999999,25.250999999999998,22.593,53.16,53.16,748.227,752.2139999999999,4.73124,4.97046,4.6514999999999995,4.717949999999999,4.89072,4.691369999999999,444.24483,3.0,515.89122,46.966860000000004,132.1026,31.25808,15.948,649.36269,11.230049999999999,132.20892,4.86414,101.00399999999999,519.639,0.0,0.0,0.0,0.0
15,18702,1,98.346,98.346,79.74,89.04299999999999,25.250999999999998,22.593,53.16,53.16,869.1659999999999,873.153,4.66479,4.6249199999999995,4.545179999999999,4.66479,4.691369999999999,4.598339999999999,442.01210999999995,1.0,512.54214,47.272529999999996,132.19563,31.25808,15.948,644.5782899999999,11.32308,132.60762,4.8774299999999995,110.307,539.574,0.0,0.0,0.0,0.0
16,18702,1,98.346,98.346,79.74,89.04299999999999,25.250999999999998,22.593,53.16,53.16,870.495,874.482,4.66479,4.97046,4.571759999999999,4.771109999999999,5.01033,4.70466,443.02215,2.0,512.54214,47.272529999999996,132.19563,31.25808,15.948,645.53517,11.19018,132.47472000000002,4.824269999999999,110.307,538.245,0.0,0.0,0.0,0.0
17,51514,0,97.017,97.017,79.74,89.04299999999999,25.250999999999998,22.593,53.16,53.16,1029.975,1033.962,4.70466,4.58505,4.6514999999999995,4.598339999999999,4.63821,4.55847,441.16155,1.0,510.34929,47.33897999999999,132.19563,31.191629999999996,15.948,646.71798,11.28321,132.67407,4.8774299999999995,112.965,531.6,0.0,0.0,0.0,0.0
18,51514,0,97.017,97.017,79.74,89.04299999999999,25.250999999999998,22.593,53.16,53.16,1031.3039999999999,1035.291,4.61163,4.5186,4.61163,4.67808,4.571759999999999,4.691369999999999,443.73981,2.0,510.34929,47.33897999999999,132.19563,31.191629999999996,15.948,647.7546,11.150310000000001,132.56775,4.83756,112.965,546.2189999999999,0.0,0.0,0.0,0.0
19,6098,1,98.346,99.675,79.74,90.372,25.250999999999998,22.593,53.16,53.16,3306.5519999999997,3310.5389999999998,4.771109999999999,4.61163,4.81098,4.63821,4.67808,4.70466,443.97902999999997,1.0,513.2597999999999,46.70106,131.85009,30.8328,15.948,634.91646,11.4294,132.44814,4.824269999999999,116.952,515.6519999999999,0.0,0.0,0.0,0.0
20,71944,0,98.346,99.675,79.74,90.372,25.250999999999998,22.593,53.16,53.16,3307.881,3311.868,4.75782,4.6514999999999995,4.797689999999999,4.6249199999999995,4.598339999999999,4.691369999999999,443.24807999999996,2.0,513.2597999999999,46.70106,131.85009,30.8328,15.948,638.29212,11.2965,132.26208,4.7844,116.952,502.36199999999997,0.0,0.0,0.0,0.0
21,20978,1,98.346,99.675,79.74,90.372,25.250999999999998,22.593,53.16,53.16,3309.21,3313.197,4.850849999999999,4.70466,4.8774299999999995,4.61163,4.545179999999999,4.6514999999999995,445.24157999999994,3.0,513.2597999999999,46.70106,131.85009,30.8328,15.948,642.49176,11.26992,132.16905,4.81098,116.952,478.44,0.0,0.0,0.0,0.0
22,21912,1,98.346,99.675,79.74,90.372,25.250999999999998,22.593,53.16,53.16,3310.5389999999998,3314.526,4.67808,4.545179999999999,4.744529999999999,4.771109999999999,4.6514999999999995,4.824269999999999,444.03219,4.0,513.2597999999999,46.70106,131.85009,30.8328,15.948,641.2690799999999,11.49585,132.5013,4.9040099999999995,116.952,571.47,0.0,0.0,0.0,0.0
23,26271,1,98.346,99.675,79.74,90.372,25.250999999999998,22.593,53.16,53.16,3739.806,3743.7929999999997,4.7844,4.58505,4.771109999999999,4.53189,4.49202,4.61163,444.80301,1.0,520.11744,46.18275,131.8368,30.859379999999998,14.619,641.2557899999999,11.4294,132.38169,4.8774299999999995,132.9,489.072,0.0,0.0,0.0,0.0
